ExtCoef_OD_M_cm_1;ExtCoef_OD_M_cm_2;ExtCoef_OD_M_cm_3;ExtCoef_OD_M_cm_4
650;386.800036185;3734.15080294;3561.2362
651;379.20422572;3702.96845923;3546.7362
652;372.103510963;3671.78611553;3535.7162
653;365.806240994;3640.47348348;3525.3125
654;360.008409678;3611.67975941;3508.6737
655;354.410353824;3583.19004149;3490.005
656;349.411624352;3554.61346467;3469.415
657;345.012221264;3525.9934584;3442.6263
658;340.912481367;3497.33002268;3415.91
659;337.516298529;3468.62315751;3379.9137
660;334.515323668;3439.91629234;3336.6312
661;331.714124268;3405.34645169;3297.5538
662;329.316818736;3370.86346993;3244.0125
663;327.518839586;3336.25019983;3185.4688
664;325.916292953;3298.16257388;3120.1462
665;324.417976995;3257.38232216;3045.1087
666;323.319211959;3216.60207043;2969.455
667;322.619997845;3175.38752422;2884.775
668;321.916440786;3131.91464672;2803.9375
669;321.516889864;3088.31148087;2713.3487
670;321.217226673;3044.70831502;2623.5213
671;321.117338942;2998.54281173;2537.2825
672;321.117338942;2951.1612839;2454.705
673;321.317114403;2903.77975607;2356.7575
674;321.317114403;2856.18108099;2279.6175
675;321.017451212;2807.97439365;2201.245
676;320.71778802;2759.89799465;2116.3112
677;320.518012559;2711.6913073;2034.2412
678;320.418124828;2664.52692671;1965.6925
679;320.018573906;2617.62312281;1891.235
680;319.319359793;2570.63246001;1810.905
681;318.520257948;2524.16295059;1739.3837
682;318.020819296;2478.1711651;1681.4925
683;317.217374507;2432.2662385;1619.94
684;316.218497201;2386.40474135;1558.6413
685;315.619170818;2343.01872274;1502.5625
686;315.019844435;2299.80642192;1448.695
687;313.921079399;2256.63755055;1394.6462
688;313.421640746;2215.64015158;1351.1825
689;312.522651172;2176.64050723;1304.4925
690;312.218645035;2137.64086287;1263.4213
691;312.118757305;2099.16237189;1227.0987
692;312.118757305;2065.07025517;1188.8913
693;312.218645035;2030.97813844;1150.9375
694;312.422763441;1996.88602172;1115.775
695;312.922202094;1966.00768415;1084.3462
696;313.921079399;1936.51908891;1054.9113
697;314.720181243;1907.11735258;1025.2225
698;316.318384932;1878.62763465;1003.3275
699;318.020819296;1852.52653637;983.3538
700;319.818798445;1826.55572643;964.0688
701;321.816553056;1800.54148704;945.2912
702;324.218201534;1777.26330289;933.655
703;326.815282527;1754.33255431;919.6625
704;329.516594197;1731.44523518;909.8025
705;332.213562921;1709.46993447;903.9663
706;335.114650051;1688.27636381;897.0425
707;338.515175834;1667.08279316;887.5812
708;341.711583211;1645.97608141;886.5662
709;344.912333533;1626.30254143;887.9075
710;348.412747047;1606.58557202;888.4875
711;352.308368538;1586.91203205;890.9162
712;356.308220704;1567.28192152;896.2087
713;360.108297409;1547.69524045;902.8424
714;363.808486383;1528.10855938;909.4037
715;367.90822628;1508.91274333;922.9251
716;372.303286424;1490.32493956;932.64
717;376.40302632;1471.7371358;943.5513
718;380.602653948;1453.14933203;957.8338
719;385.301720227;1436.12498839;970.9925
720;389.801011046;1419.31779199;984.9124
721;394.200414135;1402.55402504;999.4125
722;398.699704953;1387.13657098;1013.8763
723;403.398771233;1372.93514146;1028.7025
724;408.197725244;1358.86400029;1045.0513
725;413.196454715;1345.27058305;1065.1337
726;417.995408726;1334.84751552;1082.6425
727;422.894250467;1324.55473633;1100.0787
728;427.992867669;1314.26195714;1114.8687
729;433.091484871;1307.74753993;1131.1812
730;438.159701459;1302.57943561;1147.5662
731;443.371235226;1297.28104295;1165.1113
732;448.669627889;1294.28441103;1181.6413
733;453.881161656;1294.67527606;1197.9538
734;459.179554319;1294.9792822;1214.1574
735;464.477946982;1295.58729447;1231.63
736;469.863198542;1302.44914726;1246.275
737;475.248450101;1309.26757061;1262.7325
738;480.937707796;1316.08599396;1285.86
739;486.366388804;1327.37765045;1307.6463
740;491.838499259;1340.75392045;1323.3062
741;497.440898058;1354.1736199;1339.1475
742;503.043296858;1369.33049727;1355.9674
743;508.732554554;1388.35259552;1378.8413
744;514.552100593;1407.46155267;1394.3562
745;520.154499393;1426.44022147;1411.6837
746;525.756898192;1449.71840563;1430.9688
747;531.576444232;1473.21373703;1453.0812
748;537.482849168;1496.70906843;1468.2337
749;543.476113;1520.8124121;1484.0025
750;549.339088488;1545.3934797;1501.0037
751;555.245493424;1569.88768841;1519.5638
752;561.15189836;1593.38301981;1534.1725
753;567.058303296;1613.79486039;1552.8775
754;572.964708232;1634.16327153;1571.1113
755;578.957972064;1654.48825322;1588.185
756;585.472389272;1664.17302014;1605.585
757;591.031358624;1672.85890975;1622.3687
758;597.241769696;1681.58822881;1638.79
759;602.931027392;1681.15393433;1654.5225
760;609.445444601;1674.0749343;1671.5237
761;615.525567329;1666.99593427;1689.54
762;621.735978401;1656.1820017;1703.7862
763;628.120107266;1633.90269485;1720.9687
764;634.330518338;1611.71024689;1735.3963
765;640.54092941;1589.38751059;1752.0349
766;646.751340482;1557.81430185;1767.4412
767;653.352616587;1525.50279249;1786.1462
768;659.432739315;1493.10442424;1798.5437
769;665.643150388;1458.62144248;1814.0225
770;671.810132012;1422.53157115;1828.16
771;678.324549221;1386.52855871;1841.065
772;684.708678085;1350.95984075;1855.0212
773;690.919089158;1316.56371788;1868.8325
774;697.216359126;1282.16759502;1880.4687
775;703.600487991;1247.77147216;1893.7725
776;709.941187407;1217.19714073;1908.635
777;716.412175168;1186.70966819;1922.7362
778;722.709445136;1156.30905455;1934.9162
779;729.527868481;1129.5130851;1947.785
780;735.82513845;1104.71487026;1961.0163
781;741.992120074;1080.04694376;1974.7187
782;748.289390043;1056.81218905;1987.5513
783;754.716948355;1036.92150184;2002.4137
784;761.10107722;1017.03081463;2015.065
785;767.919500565;997.22698631;2027.4262
786;774.086482189;981.9398206;2040.7663
787;780.600899398;966.56579598;2054.505
788;787.202175503;951.27863027;2068.135
789;793.890310504;938.24979585;2079.0462
790;800.317868816;926.17640929;2092.3863
791;806.788856577;914.05959328;2104.7837
792;813.172985441;903.15880182;2118.2325
793;819.47025541;893.69118214;2130.485
794;826.201819859;884.18013302;2141.8675
795;832.803095964;874.97309003;2153.3588
796;838.970077588;867.37293662;2164.0888
797;845.571353693;859.77278321;2175.725
798;852.172629798;852.1726298;2184.57
799;858.60018811;845.87535983;2195.3362
800;865.071175871;839.66494876;2205.2325
801;871.368445839;833.58482603;2217.63
802;877.796004152;828.28643337;2225.17
803;884.266991913;823.50919408;2233.7612
804;890.694550225;818.77538424;2241.0475
805;897.07867909;814.38900999;2251.8137
806;903.549666851;810.91465414;2259.39
807;909.977225163;807.31000995;2268.1262
808;916.187636235;803.79222466;2273.165
809;922.484906204;801.18645778;2281.8287
810;928.869035068;798.493832;2288.1363
811;935.166305037;795.88806511;2294.4075
812;941.376716109;793.8903105;2298.3225
813;947.543697733;791.97941479;2304.7387
814;953.66724991;790.19880742;2308.5088
815;960.051378774;788.59191784;2314.6712
816;966.348648743;787.2021755;2318.8038
817;972.559059815;785.89929206;2323.4437
818;978.639182543;784.68326752;2327.975
819;984.545587479;783.98839635;2332.325
820;990.842857447;783.20666628;2335.5875
821;997.05326852;782.51179511;2339.3937
822;1002.959673456;781.99064174;2340.1912
823;1008.822648944;781.51291781;2341.895
824;1015.033060016;780.99176443;2343.8162
825;1020.852606056;780.68775829;2344.8312
826;1027.01958768;780.6008994;2346.0638
827;1033.05628096;780.38375216;2347.0062
828;1039.049544792;780.29689326;2347.5137
829;1044.651943592;780.21003437;2348.2388
830;1050.428060183;780.21003437;2346.4625
831;1056.117317879;780.21003437;2346.4262
832;1061.850005023;780.21003437;2343.78
833;1067.71298051;780.21003437;2344.9037
834;1073.619385446;780.29689326;2343.055
835;1079.438931486;780.29689326;2341.2425
836;1084.824183045;780.38375216;2340.0462
837;1090.426581845;780.5140405;2339.9737
838;1095.942121748;780.68775829;2335.3337
839;1101.5010911;780.99176443;2329.715
840;1106.929772107;781.29577057;2326.9238
841;1112.532170907;781.51291781;2323.1175
842;1117.917422466;781.81692394;2318.84
843;1122.998667889;782.12093008;2316.9912
844;1128.297060552;782.51179511;2312.895
845;1133.595453215;783.11980739;2310.3575
846;1138.806986982;783.68439021;2304.0863
847;1143.888232405;784.29240248;2298.25
848;1149.099766172;784.81355586;2293.2113
849;1154.398158835;785.42156813;2289.3687
850;1159.305686465;785.89929206;2280.8863
851;1164.213214096;786.89816937;2276.0288
852;1169.120741726;787.81018778;2265.6613
853;1173.897981013;788.80906508;2258.81
854;1178.718649747;789.89480128;2252.9375
855;1183.886754066;790.98053748;2249.2037
856;1188.186269424;792.10970313;2241.0112
857;1193.093797054;793.28229823;2234.2325
858;1197.697318549;794.71547002;2226.9825
859;1202.300840043;796.10521235;2222.2338
860;1206.774073193;797.49495469;2214.5487
861;1211.073588551;799.10184427;2204.0725
862;1215.286245012;800.70873385;2198.7075
863;1219.672619266;802.31562343;2193.0163
864;1224.189281864;804.18308969;2189.3912
